"filename", "language", "JavaScript", "wxml-pug", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/app.js", "JavaScript", 33, 0, 0, 0, 0, 20, 10, 63
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/app2.js", "JavaScript", 12, 0, 0, 0, 0, 5, 2, 19
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/app3.js", "JavaScript", 18, 0, 0, 0, 0, 4, 4, 26
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/demo/ResAndReq.js", "JavaScript", 16, 0, 0, 0, 0, 1, 3, 20
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/demo/ctxBody.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/demo/koa-bigpipe.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 22
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/package-lock.json", "JSON", 0, 0, 5855, 0, 0, 0, 1, 5856
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/package.json", "JSON", 0, 0, 33, 0, 0, 0, 1, 34
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/public/stylesheets/style.css", "CSS", 0, 0, 0, 0, 7, 0, 2, 9
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/readme.md", "Markdown", 0, 0, 0, 491, 0, 0, 79, 570
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/routes/index.js", "JavaScript", 22, 0, 0, 0, 0, 19, 5, 46
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/routes/users.js", "JavaScript", 9, 0, 0, 0, 0, 11, 6, 26
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/routes2/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/test/app.js", "JavaScript", 23, 0, 0, 0, 0, 22, 4, 49
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/test/index.js", "JavaScript", 9, 0, 0, 0, 0, 5, 5, 19
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/test/lifecycle.js", "JavaScript", 39, 0, 0, 0, 0, 17, 9, 65
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/test/readme.md", "Markdown", 0, 0, 0, 14, 0, 0, 2, 16
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/test/tests.js", "JavaScript", 31, 0, 0, 0, 0, 65, 13, 109
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/views/error.pug", "wxml-pug", 0, 5, 0, 0, 0, 0, 2, 7
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/views/index.pug", "wxml-pug", 0, 4, 0, 0, 0, 0, 2, 6
"/Users/wanghefeng/Desktop/project/nodejs/node-lesson-2-1-koa/ko2/hellworld/views/layout.pug", "wxml-pug", 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 242, 16, 5888, 505, 7, 169, 154, 6981